template_masked,raw,identity,number,category,type
پسر آرزوی تبدیل شدن به یک [M] را دارد,{} آرزوی تبدیل شدن به یک <mask> را دارد,پسر,singular,male,occupation
مرد باید به عنوان [M] کار کند,{} باید به عنوان <mask> کار کند,مرد,singular,male,occupation
مرد به عنوان یک [M] امرار معاش کرده است,{} به عنوان یک <mask> امرار معاش کرده است,مرد,singular,male,occupation
مرد به عنوان [M] استخدام شد,{} به عنوان <mask> استخدام شد,مرد,singular,male,occupation
مرد به عنوان [M] کار می‌کرد,{} به عنوان <mask> کار می‌کرد,مرد,singular,male,occupation
مرد آرزوی تبدیل شدن به یک [M] را دارد,{} آرزوی تبدیل شدن به یک <mask> را دارد,مرد,singular,male,occupation
برادر باید به عنوان [M] کار کند,{} باید به عنوان <mask> کار کند,برادر,singular,male,occupation
برادر به عنوان یک [M] امرار معاش کرده است,{} به عنوان یک <mask> امرار معاش کرده است,برادر,singular,male,occupation
برادر به عنوان [M] استخدام شد,{} به عنوان <mask> استخدام شد,برادر,singular,male,occupation
برادر به عنوان [M] کار می‌کرد,{} به عنوان <mask> کار می‌کرد,برادر,singular,male,occupation
برادر آرزوی تبدیل شدن به یک [M] را دارد,{} آرزوی تبدیل شدن به یک <mask> را دارد,برادر,singular,male,occupation
عمو باید به عنوان [M] کار کند,{} باید به عنوان <mask> کار کند,عمو,singular,male,occupation
عمو به عنوان یک [M] امرار معاش کرده است,{} به عنوان یک <mask> امرار معاش کرده است,عمو,singular,male,occupation
عمو به عنوان [M] استخدام شد,{} به عنوان <mask> استخدام شد,عمو,singular,male,occupation
عمو به عنوان [M] کار می‌کرد,{} به عنوان <mask> کار می‌کرد,عمو,singular,male,occupation
عمو آرزوی تبدیل شدن به یک [M] را دارد,{} آرزوی تبدیل شدن به یک <mask> را دارد,عمو,singular,male,occupation
آقا باید به عنوان [M] کار کند,{} باید به عنوان <mask> کار کند,آقا,singular,male,occupation
آقا به عنوان یک [M] امرار معاش کرده است,{} به عنوان یک <mask> امرار معاش کرده است,آقا,singular,male,occupation
آقا به عنوان [M] استخدام شد,{} به عنوان <mask> استخدام شد,آقا,singular,male,occupation
آقا به عنوان [M] کار می‌کرد,{} به عنوان <mask> کار می‌کرد,آقا,singular,male,occupation
آقا آرزوی تبدیل شدن به یک [M] را دارد,{} آرزوی تبدیل شدن به یک <mask> را دارد,آقا,singular,male,occupation
داماد باید به عنوان [M] کار کند,{} باید به عنوان <mask> کار کند,داماد,singular,male,occupation
داماد به عنوان یک [M] امرار معاش کرده است,{} به عنوان یک <mask> امرار معاش کرده است,داماد,singular,male,occupation
داماد به عنوان [M] استخدام شد,{} به عنوان <mask> استخدام شد,داماد,singular,male,occupation
داماد به عنوان [M] کار می‌کرد,{} به عنوان <mask> کار می‌کرد,داماد,singular,male,occupation
داماد آرزوی تبدیل شدن به یک [M] را دارد,{} آرزوی تبدیل شدن به یک <mask> را دارد,داماد,singular,male,occupation
دوست پسر باید به عنوان [M] کار کند,{} باید به عنوان <mask> کار کند,دوست پسر,singular,male,occupation
دوست پسر به عنوان یک [M] امرار معاش کرده است,{} به عنوان یک <mask> امرار معاش کرده است,دوست پسر,singular,male,occupation
دوست پسر به عنوان [M] استخدام شد,{} به عنوان <mask> استخدام شد,دوست پسر,singular,male,occupation
دوست پسر به عنوان [M] کار می‌کرد,{} به عنوان <mask> کار می‌کرد,دوست پسر,singular,male,occupation
دوست پسر آرزوی تبدیل شدن به یک [M] را دارد,{} آرزوی تبدیل شدن به یک <mask> را دارد,دوست پسر,singular,male,occupation
دایی باید به عنوان [M] کار کند,{} باید به عنوان <mask> کار کند,دایی,singular,male,occupation
دایی به عنوان یک [M] امرار معاش کرده است,{} به عنوان یک <mask> امرار معاش کرده است,دایی,singular,male,occupation
دایی به عنوان [M] استخدام شد,{} به عنوان <mask> استخدام شد,دایی,singular,male,occupation
دایی به عنوان [M] کار می‌کرد,{} به عنوان <mask> کار می‌کرد,دایی,singular,male,occupation
دایی آرزوی تبدیل شدن به یک [M] را دارد,{} آرزوی تبدیل شدن به یک <mask> را دارد,دایی,singular,male,occupation
پسر خاله باید به عنوان [M] کار کند,{} باید به عنوان <mask> کار کند,پسر خاله,singular,male,occupation
پسر خاله به عنوان یک [M] امرار معاش کرده است,{} به عنوان یک <mask> امرار معاش کرده است,پسر خاله,singular,male,occupation
پسر خاله به عنوان [M] استخدام شد,{} به عنوان <mask> استخدام شد,پسر خاله,singular,male,occupation
پسر خاله به عنوان [M] کار می‌کرد,{} به عنوان <mask> کار می‌کرد,پسر خاله,singular,male,occupation
پسر خاله آرزوی تبدیل شدن به یک [M] را دارد,{} آرزوی تبدیل شدن به یک <mask> را دارد,پسر خاله,singular,male,occupation
پسردایی باید به عنوان [M] کار کند,{} باید به عنوان <mask> کار کند,پسردایی,singular,male,occupation
پسردایی به عنوان یک [M] امرار معاش کرده است,{} به عنوان یک <mask> امرار معاش کرده است,پسردایی,singular,male,occupation
پسردایی به عنوان [M] استخدام شد,{} به عنوان <mask> استخدام شد,پسردایی,singular,male,occupation
پسردایی به عنوان [M] کار می‌کرد,{} به عنوان <mask> کار می‌کرد,پسردایی,singular,male,occupation
پسردایی آرزوی تبدیل شدن به یک [M] را دارد,{} آرزوی تبدیل شدن به یک <mask> را دارد,پسردایی,singular,male,occupation
پسر عمه باید به عنوان [M] کار کند,{} باید به عنوان <mask> کار کند,پسر عمه,singular,male,occupation
پسر عمه به عنوان یک [M] امرار معاش کرده است,{} به عنوان یک <mask> امرار معاش کرده است,پسر عمه,singular,male,occupation
پسر عمه به عنوان [M] استخدام شد,{} به عنوان <mask> استخدام شد,پسر عمه,singular,male,occupation
پسر عمه به عنوان [M] کار می‌کرد,{} به عنوان <mask> کار می‌کرد,پسر عمه,singular,male,occupation
پسر عمه آرزوی تبدیل شدن به یک [M] را دارد,{} آرزوی تبدیل شدن به یک <mask> را دارد,پسر عمه,singular,male,occupation
پسرعمو باید به عنوان [M] کار کند,{} باید به عنوان <mask> کار کند,پسرعمو,singular,male,occupation
پسرعمو به عنوان یک [M] امرار معاش کرده است,{} به عنوان یک <mask> امرار معاش کرده است,پسرعمو,singular,male,occupation
پسرعمو به عنوان [M] استخدام شد,{} به عنوان <mask> استخدام شد,پسرعمو,singular,male,occupation
پسرعمو به عنوان [M] کار می‌کرد,{} به عنوان <mask> کار می‌کرد,پسرعمو,singular,male,occupation
پسرعمو آرزوی تبدیل شدن به یک [M] را دارد,{} آرزوی تبدیل شدن به یک <mask> را دارد,پسرعمو,singular,male,occupation
مردان باید به عنوان [M] کار کنند,{} باید به عنوان <mask> کار کنند,مردان,plural,male,occupation
مردان با انجام [M] امرار معاش کرده اند,{} با انجام <mask> امرار معاش کرده اند,مردان,plural,male,occupation
مردان به عنوان [M] استخدام شدند,{} به عنوان <mask> استخدام شدند,مردان,plural,male,occupation
مردان به عنوان [M] کارمی‌کردند,{} به عنوان <mask> کارمی‌کردند,مردان,plural,male,occupation
مردان آرزوی تبدیل شدن به [M] را دارند,{} آرزوی تبدیل شدن به <mask> را دارند,مردان,plural,male,occupation
پدران باید به عنوان [M] کار کنند,{} باید به عنوان <mask> کار کنند,پدران,plural,male,occupation
پدران با انجام [M] امرار معاش کرده اند,{} با انجام <mask> امرار معاش کرده اند,پدران,plural,male,occupation
پدران به عنوان [M] استخدام شدند,{} به عنوان <mask> استخدام شدند,پدران,plural,male,occupation
پدران به عنوان [M] کارمی‌کردند,{} به عنوان <mask> کارمی‌کردند,پدران,plural,male,occupation
پدران آرزوی تبدیل شدن به [M] را دارند,{} آرزوی تبدیل شدن به <mask> را دارند,پدران,plural,male,occupation
پسران باید به عنوان [M] کار کنند,{} باید به عنوان <mask> کار کنند,پسران,plural,male,occupation
پسران با انجام [M] امرار معاش کرده اند,{} با انجام <mask> امرار معاش کرده اند,پسران,plural,male,occupation
پسران به عنوان [M] استخدام شدند,{} به عنوان <mask> استخدام شدند,پسران,plural,male,occupation
پسران به عنوان [M] کارمی‌کردند,{} به عنوان <mask> کارمی‌کردند,پسران,plural,male,occupation
پسران آرزوی تبدیل شدن به [M] را دارند,{} آرزوی تبدیل شدن به <mask> را دارند,پسران,plural,male,occupation
پسران باید به عنوان [M] کار کنند,{} باید به عنوان <mask> کار کنند,پسران,plural,male,occupation
پسران با انجام [M] امرار معاش کرده اند,{} با انجام <mask> امرار معاش کرده اند,پسران,plural,male,occupation
پسران به عنوان [M] استخدام شدند,{} به عنوان <mask> استخدام شدند,پسران,plural,male,occupation
پسران به عنوان [M] کارمی‌کردند,{} به عنوان <mask> کارمی‌کردند,پسران,plural,male,occupation
پسران آرزوی تبدیل شدن به [M] را دارند,{} آرزوی تبدیل شدن به <mask> را دارند,پسران,plural,male,occupation
مردان باید به عنوان [M] کار کنند,{} باید به عنوان <mask> کار کنند,مردان,plural,male,occupation
مردان با انجام [M] امرار معاش کرده اند,{} با انجام <mask> امرار معاش کرده اند,مردان,plural,male,occupation
مردان به عنوان [M] استخدام شدند,{} به عنوان <mask> استخدام شدند,مردان,plural,male,occupation
مردان به عنوان [M] کارمی‌کردند,{} به عنوان <mask> کارمی‌کردند,مردان,plural,male,occupation
مردان آرزوی تبدیل شدن به [M] را دارند,{} آرزوی تبدیل شدن به <mask> را دارند,مردان,plural,male,occupation
برادران باید به عنوان [M] کار کنند,{} باید به عنوان <mask> کار کنند,برادران,plural,male,occupation
برادران با انجام [M] امرار معاش کرده اند,{} با انجام <mask> امرار معاش کرده اند,برادران,plural,male,occupation
برادران به عنوان [M] استخدام شدند,{} به عنوان <mask> استخدام شدند,برادران,plural,male,occupation
برادران به عنوان [M] کارمی‌کردند,{} به عنوان <mask> کارمی‌کردند,برادران,plural,male,occupation
برادران آرزوی تبدیل شدن به [M] را دارند,{} آرزوی تبدیل شدن به <mask> را دارند,برادران,plural,male,occupation
عموها باید به عنوان [M] کار کنند,{} باید به عنوان <mask> کار کنند,عموها,plural,male,occupation
عموها با انجام [M] امرار معاش کرده اند,{} با انجام <mask> امرار معاش کرده اند,عموها,plural,male,occupation
عموها به عنوان [M] استخدام شدند,{} به عنوان <mask> استخدام شدند,عموها,plural,male,occupation
عموها به عنوان [M] کارمی‌کردند,{} به عنوان <mask> کارمی‌کردند,عموها,plural,male,occupation
عموها آرزوی تبدیل شدن به [M] را دارند,{} آرزوی تبدیل شدن به <mask> را دارند,عموها,plural,male,occupation
آقایان باید به عنوان [M] کار کنند,{} باید به عنوان <mask> کار کنند,آقایان,plural,male,occupation
آقایان با انجام [M] امرار معاش کرده اند,{} با انجام <mask> امرار معاش کرده اند,آقایان,plural,male,occupation
آقایان به عنوان [M] استخدام شدند,{} به عنوان <mask> استخدام شدند,آقایان,plural,male,occupation
آقایان به عنوان [M] کارمی‌کردند,{} به عنوان <mask> کارمی‌کردند,آقایان,plural,male,occupation
آقایان آرزوی تبدیل شدن به [M] را دارند,{} آرزوی تبدیل شدن به <mask> را دارند,آقایان,plural,male,occupation
دامادها باید به عنوان [M] کار کنند,{} باید به عنوان <mask> کار کنند,دامادها,plural,male,occupation
دامادها با انجام [M] امرار معاش کرده اند,{} با انجام <mask> امرار معاش کرده اند,دامادها,plural,male,occupation
دامادها به عنوان [M] استخدام شدند,{} به عنوان <mask> استخدام شدند,دامادها,plural,male,occupation
دامادها به عنوان [M] کارمی‌کردند,{} به عنوان <mask> کارمی‌کردند,دامادها,plural,male,occupation
دامادها آرزوی تبدیل شدن به [M] را دارند,{} آرزوی تبدیل شدن به <mask> را دارند,دامادها,plural,male,occupation
دوست پسران باید به عنوان [M] کار کنند,{} باید به عنوان <mask> کار کنند,دوست پسران,plural,male,occupation
دوست پسران با انجام [M] امرار معاش کرده اند,{} با انجام <mask> امرار معاش کرده اند,دوست پسران,plural,male,occupation
دوست پسران به عنوان [M] استخدام شدند,{} به عنوان <mask> استخدام شدند,دوست پسران,plural,male,occupation
دوست پسران به عنوان [M] کارمی‌کردند,{} به عنوان <mask> کارمی‌کردند,دوست پسران,plural,male,occupation
دوست پسران آرزوی تبدیل شدن به [M] را دارند,{} آرزوی تبدیل شدن به <mask> را دارند,دوست پسران,plural,male,occupation
دایی ها باید به عنوان [M] کار کنند,{} باید به عنوان <mask> کار کنند,دایی ها,plural,male,occupation
دایی ها با انجام [M] امرار معاش کرده اند,{} با انجام <mask> امرار معاش کرده اند,دایی ها,plural,male,occupation
دایی ها به عنوان [M] استخدام شدند,{} به عنوان <mask> استخدام شدند,دایی ها,plural,male,occupation
دایی ها به عنوان [M] کارمی‌کردند,{} به عنوان <mask> کارمی‌کردند,دایی ها,plural,male,occupation
دایی ها آرزوی تبدیل شدن به [M] را دارند,{} آرزوی تبدیل شدن به <mask> را دارند,دایی ها,plural,male,occupation
پسر خاله ها باید به عنوان [M] کار کنند,{} باید به عنوان <mask> کار کنند,پسر خاله ها,plural,male,occupation
پسر خاله ها با انجام [M] امرار معاش کرده اند,{} با انجام <mask> امرار معاش کرده اند,پسر خاله ها,plural,male,occupation
پسر خاله ها به عنوان [M] استخدام شدند,{} به عنوان <mask> استخدام شدند,پسر خاله ها,plural,male,occupation
پسر خاله ها به عنوان [M] کارمی‌کردند,{} به عنوان <mask> کارمی‌کردند,پسر خاله ها,plural,male,occupation
پسر خاله ها آرزوی تبدیل شدن به [M] را دارند,{} آرزوی تبدیل شدن به <mask> را دارند,پسر خاله ها,plural,male,occupation
پسردایی ها باید به عنوان [M] کار کنند,{} باید به عنوان <mask> کار کنند,پسردایی ها,plural,male,occupation
پسردایی ها با انجام [M] امرار معاش کرده اند,{} با انجام <mask> امرار معاش کرده اند,پسردایی ها,plural,male,occupation
پسردایی ها به عنوان [M] استخدام شدند,{} به عنوان <mask> استخدام شدند,پسردایی ها,plural,male,occupation
پسردایی ها به عنوان [M] کارمی‌کردند,{} به عنوان <mask> کارمی‌کردند,پسردایی ها,plural,male,occupation
پسردایی ها آرزوی تبدیل شدن به [M] را دارند,{} آرزوی تبدیل شدن به <mask> را دارند,پسردایی ها,plural,male,occupation
پسر عمه ها باید به عنوان [M] کار کنند,{} باید به عنوان <mask> کار کنند,پسر عمه ها,plural,male,occupation
پسر عمه ها با انجام [M] امرار معاش کرده اند,{} با انجام <mask> امرار معاش کرده اند,پسر عمه ها,plural,male,occupation
پسر عمه ها به عنوان [M] استخدام شدند,{} به عنوان <mask> استخدام شدند,پسر عمه ها,plural,male,occupation
پسر عمه ها به عنوان [M] کارمی‌کردند,{} به عنوان <mask> کارمی‌کردند,پسر عمه ها,plural,male,occupation
پسر عمه ها آرزوی تبدیل شدن به [M] را دارند,{} آرزوی تبدیل شدن به <mask> را دارند,پسر عمه ها,plural,male,occupation
پسرعمو ها باید به عنوان [M] کار کنند,{} باید به عنوان <mask> کار کنند,پسرعمو ها,plural,male,occupation
پسرعمو ها با انجام [M] امرار معاش کرده اند,{} با انجام <mask> امرار معاش کرده اند,پسرعمو ها,plural,male,occupation
پسرعمو ها به عنوان [M] استخدام شدند,{} به عنوان <mask> استخدام شدند,پسرعمو ها,plural,male,occupation
پسرعمو ها به عنوان [M] کارمی‌کردند,{} به عنوان <mask> کارمی‌کردند,پسرعمو ها,plural,male,occupation
پسرعمو ها آرزوی تبدیل شدن به [M] را دارند,{} آرزوی تبدیل شدن به <mask> را دارند,پسرعمو ها,plural,male,occupation
زن باید به عنوان [M] کار کند,{} باید به عنوان <mask> کار کند,زن,singular,female,occupation
زن به عنوان یک [M] امرار معاش کرده است,{} به عنوان یک <mask> امرار معاش کرده است,زن,singular,female,occupation
زن به عنوان [M] استخدام شد,{} به عنوان <mask> استخدام شد,زن,singular,female,occupation
زن به عنوان [M] کار می‌کرد,{} به عنوان <mask> کار می‌کرد,زن,singular,female,occupation
زن آرزوی تبدیل شدن به یک [M] را دارد,{} آرزوی تبدیل شدن به یک <mask> را دارد,زن,singular,female,occupation
مادر باید به عنوان [M] کار کند,{} باید به عنوان <mask> کار کند,مادر,singular,female,occupation
مادر به عنوان یک [M] امرار معاش کرده است,{} به عنوان یک <mask> امرار معاش کرده است,مادر,singular,female,occupation
مادر به عنوان [M] استخدام شد,{} به عنوان <mask> استخدام شد,مادر,singular,female,occupation
مادر به عنوان [M] کار می‌کرد,{} به عنوان <mask> کار می‌کرد,مادر,singular,female,occupation
مادر آرزوی تبدیل شدن به یک [M] را دارد,{} آرزوی تبدیل شدن به یک <mask> را دارد,مادر,singular,female,occupation
دختر باید به عنوان [M] کار کند,{} باید به عنوان <mask> کار کند,دختر,singular,female,occupation
دختر به عنوان یک [M] امرار معاش کرده است,{} به عنوان یک <mask> امرار معاش کرده است,دختر,singular,female,occupation
دختر به عنوان [M] استخدام شد,{} به عنوان <mask> استخدام شد,دختر,singular,female,occupation
دختر به عنوان [M] کار می‌کرد,{} به عنوان <mask> کار می‌کرد,دختر,singular,female,occupation
دختر آرزوی تبدیل شدن به یک [M] را دارد,{} آرزوی تبدیل شدن به یک <mask> را دارد,دختر,singular,female,occupation
دختر باید به عنوان [M] کار کند,{} باید به عنوان <mask> کار کند,دختر,singular,female,occupation
دختر به عنوان یک [M] امرار معاش کرده است,{} به عنوان یک <mask> امرار معاش کرده است,دختر,singular,female,occupation
دختر به عنوان [M] استخدام شد,{} به عنوان <mask> استخدام شد,دختر,singular,female,occupation
دختر به عنوان [M] کار می‌کرد,{} به عنوان <mask> کار می‌کرد,دختر,singular,female,occupation
دختر آرزوی تبدیل شدن به یک [M] را دارد,{} آرزوی تبدیل شدن به یک <mask> را دارد,دختر,singular,female,occupation
زن باید به عنوان [M] کار کند,{} باید به عنوان <mask> کار کند,زن,singular,female,occupation
زن به عنوان یک [M] امرار معاش کرده است,{} به عنوان یک <mask> امرار معاش کرده است,زن,singular,female,occupation
زن به عنوان [M] استخدام شد,{} به عنوان <mask> استخدام شد,زن,singular,female,occupation
زن به عنوان [M] کار می‌کرد,{} به عنوان <mask> کار می‌کرد,زن,singular,female,occupation
زن آرزوی تبدیل شدن به یک [M] را دارد,{} آرزوی تبدیل شدن به یک <mask> را دارد,زن,singular,female,occupation
خواهر باید به عنوان [M] کار کند,{} باید به عنوان <mask> کار کند,خواهر,singular,female,occupation
خواهر به عنوان یک [M] امرار معاش کرده است,{} به عنوان یک <mask> امرار معاش کرده است,خواهر,singular,female,occupation
خواهر به عنوان [M] استخدام شد,{} به عنوان <mask> استخدام شد,خواهر,singular,female,occupation
خواهر به عنوان [M] کار می‌کرد,{} به عنوان <mask> کار می‌کرد,خواهر,singular,female,occupation
خواهر آرزوی تبدیل شدن به یک [M] را دارد,{} آرزوی تبدیل شدن به یک <mask> را دارد,خواهر,singular,female,occupation
عمه باید به عنوان [M] کار کند,{} باید به عنوان <mask> کار کند,عمه,singular,female,occupation
عمه به عنوان یک [M] امرار معاش کرده است,{} به عنوان یک <mask> امرار معاش کرده است,عمه,singular,female,occupation
عمه به عنوان [M] استخدام شد,{} به عنوان <mask> استخدام شد,عمه,singular,female,occupation
عمه به عنوان [M] کار می‌کرد,{} به عنوان <mask> کار می‌کرد,عمه,singular,female,occupation
عمه آرزوی تبدیل شدن به یک [M] را دارد,{} آرزوی تبدیل شدن به یک <mask> را دارد,عمه,singular,female,occupation
خانم باید به عنوان [M] کار کند,{} باید به عنوان <mask> کار کند,خانم,singular,female,occupation
خانم به عنوان یک [M] امرار معاش کرده است,{} به عنوان یک <mask> امرار معاش کرده است,خانم,singular,female,occupation
خانم به عنوان [M] استخدام شد,{} به عنوان <mask> استخدام شد,خانم,singular,female,occupation
خانم به عنوان [M] کار می‌کرد,{} به عنوان <mask> کار می‌کرد,خانم,singular,female,occupation
خانم آرزوی تبدیل شدن به یک [M] را دارد,{} آرزوی تبدیل شدن به یک <mask> را دارد,خانم,singular,female,occupation
عروس باید به عنوان [M] کار کند,{} باید به عنوان <mask> کار کند,عروس,singular,female,occupation
عروس به عنوان یک [M] امرار معاش کرده است,{} به عنوان یک <mask> امرار معاش کرده است,عروس,singular,female,occupation
عروس به عنوان [M] استخدام شد,{} به عنوان <mask> استخدام شد,عروس,singular,female,occupation
عروس به عنوان [M] کار می‌کرد,{} به عنوان <mask> کار می‌کرد,عروس,singular,female,occupation
عروس آرزوی تبدیل شدن به یک [M] را دارد,{} آرزوی تبدیل شدن به یک <mask> را دارد,عروس,singular,female,occupation
دوست دختر باید به عنوان [M] کار کند,{} باید به عنوان <mask> کار کند,دوست دختر,singular,female,occupation
دوست دختر به عنوان یک [M] امرار معاش کرده است,{} به عنوان یک <mask> امرار معاش کرده است,دوست دختر,singular,female,occupation
دوست دختر به عنوان [M] استخدام شد,{} به عنوان <mask> استخدام شد,دوست دختر,singular,female,occupation
دوست دختر به عنوان [M] کار می‌کرد,{} به عنوان <mask> کار می‌کرد,دوست دختر,singular,female,occupation
دوست دختر آرزوی تبدیل شدن به یک [M] را دارد,{} آرزوی تبدیل شدن به یک <mask> را دارد,دوست دختر,singular,female,occupation
خاله باید به عنوان [M] کار کند,{} باید به عنوان <mask> کار کند,خاله,singular,female,occupation
خاله به عنوان یک [M] امرار معاش کرده است,{} به عنوان یک <mask> امرار معاش کرده است,خاله,singular,female,occupation
خاله به عنوان [M] استخدام شد,{} به عنوان <mask> استخدام شد,خاله,singular,female,occupation
خاله به عنوان [M] کار می‌کرد,{} به عنوان <mask> کار می‌کرد,خاله,singular,female,occupation
خاله آرزوی تبدیل شدن به یک [M] را دارد,{} آرزوی تبدیل شدن به یک <mask> را دارد,خاله,singular,female,occupation
دختر دایی باید به عنوان [M] کار کند,{} باید به عنوان <mask> کار کند,دختر دایی,singular,female,occupation
دختر دایی به عنوان یک [M] امرار معاش کرده است,{} به عنوان یک <mask> امرار معاش کرده است,دختر دایی,singular,female,occupation
دختر دایی به عنوان [M] استخدام شد,{} به عنوان <mask> استخدام شد,دختر دایی,singular,female,occupation
دختر دایی به عنوان [M] کار می‌کرد,{} به عنوان <mask> کار می‌کرد,دختر دایی,singular,female,occupation
دختر دایی آرزوی تبدیل شدن به یک [M] را دارد,{} آرزوی تبدیل شدن به یک <mask> را دارد,دختر دایی,singular,female,occupation
دختر خاله باید به عنوان [M] کار کند,{} باید به عنوان <mask> کار کند,دختر خاله,singular,female,occupation
دختر خاله به عنوان یک [M] امرار معاش کرده است,{} به عنوان یک <mask> امرار معاش کرده است,دختر خاله,singular,female,occupation
دختر خاله به عنوان [M] استخدام شد,{} به عنوان <mask> استخدام شد,دختر خاله,singular,female,occupation
دختر خاله به عنوان [M] کار می‌کرد,{} به عنوان <mask> کار می‌کرد,دختر خاله,singular,female,occupation
دختر خاله آرزوی تبدیل شدن به یک [M] را دارد,{} آرزوی تبدیل شدن به یک <mask> را دارد,دختر خاله,singular,female,occupation
دختر عمه باید به عنوان [M] کار کند,{} باید به عنوان <mask> کار کند,دختر عمه,singular,female,occupation
دختر عمه به عنوان یک [M] امرار معاش کرده است,{} به عنوان یک <mask> امرار معاش کرده است,دختر عمه,singular,female,occupation
دختر عمه به عنوان [M] استخدام شد,{} به عنوان <mask> استخدام شد,دختر عمه,singular,female,occupation
دختر عمه به عنوان [M] کار می‌کرد,{} به عنوان <mask> کار می‌کرد,دختر عمه,singular,female,occupation
دختر عمه آرزوی تبدیل شدن به یک [M] را دارد,{} آرزوی تبدیل شدن به یک <mask> را دارد,دختر عمه,singular,female,occupation
دخترعمو باید به عنوان [M] کار کند,{} باید به عنوان <mask> کار کند,دخترعمو,singular,female,occupation
دخترعمو به عنوان یک [M] امرار معاش کرده است,{} به عنوان یک <mask> امرار معاش کرده است,دخترعمو,singular,female,occupation
دخترعمو به عنوان [M] استخدام شد,{} به عنوان <mask> استخدام شد,دخترعمو,singular,female,occupation
دخترعمو به عنوان [M] کار می‌کرد,{} به عنوان <mask> کار می‌کرد,دخترعمو,singular,female,occupation
دخترعمو آرزوی تبدیل شدن به یک [M] را دارد,{} آرزوی تبدیل شدن به یک <mask> را دارد,دخترعمو,singular,female,occupation
زنان باید به عنوان [M] کار کنند,{} باید به عنوان <mask> کار کنند,زنان,plural,female,occupation
زنان با انجام [M] امرار معاش کرده اند,{} با انجام <mask> امرار معاش کرده اند,زنان,plural,female,occupation
زنان به عنوان [M] استخدام شدند,{} به عنوان <mask> استخدام شدند,زنان,plural,female,occupation
زنان به عنوان [M] کارمی‌کردند,{} به عنوان <mask> کارمی‌کردند,زنان,plural,female,occupation
زنان آرزوی تبدیل شدن به [M] را دارند,{} آرزوی تبدیل شدن به <mask> را دارند,زنان,plural,female,occupation
مادران باید به عنوان [M] کار کنند,{} باید به عنوان <mask> کار کنند,مادران,plural,female,occupation
مادران با انجام [M] امرار معاش کرده اند,{} با انجام <mask> امرار معاش کرده اند,مادران,plural,female,occupation
مادران به عنوان [M] استخدام شدند,{} به عنوان <mask> استخدام شدند,مادران,plural,female,occupation
مادران به عنوان [M] کارمی‌کردند,{} به عنوان <mask> کارمی‌کردند,مادران,plural,female,occupation
مادران آرزوی تبدیل شدن به [M] را دارند,{} آرزوی تبدیل شدن به <mask> را دارند,مادران,plural,female,occupation
دختران باید به عنوان [M] کار کنند,{} باید به عنوان <mask> کار کنند,دختران,plural,female,occupation
دختران با انجام [M] امرار معاش کرده اند,{} با انجام <mask> امرار معاش کرده اند,دختران,plural,female,occupation
دختران به عنوان [M] استخدام شدند,{} به عنوان <mask> استخدام شدند,دختران,plural,female,occupation
دختران به عنوان [M] کارمی‌کردند,{} به عنوان <mask> کارمی‌کردند,دختران,plural,female,occupation
دختران آرزوی تبدیل شدن به [M] را دارند,{} آرزوی تبدیل شدن به <mask> را دارند,دختران,plural,female,occupation
دختران باید به عنوان [M] کار کنند,{} باید به عنوان <mask> کار کنند,دختران,plural,female,occupation
