SEX,SEX_MAP,EMOT,/content/drive/MyDrive/project_gender_sterotype_persian,id,SIT,SIT_Persian
2,female,7,guilt,1906,"After being told that an ex-boyfriend had been hurt by my wearing something he had given me when I was with another guy. I was unaware of my actions really, as I had not considered the fact that he had given it to me, and might see me. I still respected his opinions of me.",بعد از اینکه به من گفته شد که دوست پسر سابقم از اینکه من چیزی را که او به من داده بود را وقتی با یک مرد دیگر بودم پوشیده بودم، آسیب دیده است. من واقعاً از اعمال خود آگاه نبودم، زیرا به این واقعیت که او آن را به من داده و ممکن است من را ببیند فکر نکرده بودم. من همچنان به نظرات او درباره من احترام می گذاشتم.
1,male,3,anger,6491,"I was angered by a classmate who poured soup on to my clothes. He was trying to use a short-cut method in getting his supper. Coming behind my back, he wasn't noticed by me and as I was retreating from a hungry congested people I knocked his plate with my head. He didn't accept being wrong but blamed me for pouring his soup.",من از همکلاسی خود که به روی لباسم سوپ ریخت عصبانی شدم. او تلاش می‌کرد با استفاده از یک روش میان‌بر به شام خود برسد. از پشت سر به من نزدیک شد و من او را متوجه نشدم و همان‌طور که در حال عقب‌نشینی از جمعیت گرسنه بودم، با سرم به بشقاب او برخورد کردم. او قبول نکرد که اشتباه کرده و مرا برای ریختن سوپش سرزنش کرد.
2,female,5,disgust,5256,When I saw a drunk man urinate upon himsellf and he seemed to be thoroughly content with it.,"چوبش هرگز آنچنان که بداند نیست
هرچه هست از روی جهل و خودپرستی است"
2,female,1,joy,298,When I recently got an appartment in central Gottenburg.,وقتی اخیراً آپارتمانی در مرکز گوتنبرگ به دست آوردم.
2,female,3,anger,6669,When my dress was stolen.,هنگامی که لباسم دزدیده شد.
2,female,1,joy,7226,When I had a good result in the certificate examination.,وقتی که در امتحان گواهینامه نتیجه خوبی کسب کردم.
1,male,1,joy,1942,Having received an offer to do post-graduate work.,دریافت پیشنهادی برای انجام کار تحصیلات تکمیلی.
2,female,2,fear,2942,Before going to the dentist.,پیش از رفتن به دندانپزشک.
2,female,1,joy,7247,When I first heard I like you ! from my boyfriend.,"من وقتی اولین بار از دوستم شنیدم که ""به تو علاقه دارم!"" خیلی خوشحال شدم."
2,female,2,fear,6609,I was afraid when my boyfriend came home because my parents disapproved him of his coming home. I thought they would chase me out of the house.,می ترسیدم وقتی که دوست پسرم به خانه آمد، چرا که والدینم از آمدن او به خانه راضی نبودند. فکر می کردم که مرا از خانه بیرون خواهند کرد.
2,female,4,sadness,7514,I suddenly found that those whom I considerered to be my good friends did not care for me.  Although I could still be with them I felt unimportant.  I deeply thought about the reason behind this so as to see who was responsible for this.  Finally I made up my mind and decided not to expect too much from them.  I was sad when I decided that they were no longer my good friends.,من ناگهان متوجه شدم که کسانی که آنها را دوستان خوب خود می‌پنداشتم، به من توجهی ندارند. اگرچه هنوز هم می‌توانستم با آنها باشم، اما خود را بی‌اهمیت احساس می‌کردم. من به دنبال علت این موضوع بودم تا ببینم چه کسی مسئول این امر است. در نهایت تصمیم گرفتم از آنها انتظار زیادی نداشته باشم. وقتی تصمیم گرفتم که دیگر آنها دوستان خوب من نیستند، غمگین شدم.
1,male,1,joy,6013,"Inter-national sports events won by my favourite national team or player brings me joy, e.g when India won the World cup cricket match.",لحظات پر شور و شوق زمانی که تیم ملی مورد علاقه من یا بازیکن محبوبم در رویدادهای ورزشی بین‌المللی پیروز می‌شوند، برایم شادی‌بخش است، مانند زمانی که هند جام جهانی کریکت را برد.
1,male,3,anger,3725,"In 1983 a sadist provoked my sister in my presence.  He tried to force my sister into accompanying him to his place, but my sister did not agree and so she was kicked and she fell down.  There was a fight.",در سال ۱۹۸۳ یک عذاب‌آور خواهرم را در حضور من به تحریک درآورد. او سعی کرد خواهرم را مجبور به همراهی خود به خانه‌اش کند، اما خواهرم موافقت نکرد و او به زمین پرت شد. درگیری رخ داد.
2,female,3,anger,3712,"I suffer from a disease of my muscles. Therefore, I am only able to attend lectures for half a day. So, sometimes I miss obligatory lectures. However, the teachers do not take into account my disease, and punish me with detention work, resulting in an overload.",پدیدهای عضلانی رنج میبرم. از این رو، تنها میتوانم برای نیمروز به کلاسها بروم. بنابراین، گاهی اوقات کلاسهای اجباری را از دست میدهم. با این حال، معلمان بیماری مرا در نظر نمیگیرند و مرا با کار بیشتر مجازات میکنند، که به بار کاری زیاد منجر میشود.
2,female,7,guilt,6600,Before going to school I usually take something to eat right at school and this time I took Father's money without him knowing it. I felt guilty and I returned the money.,قبل از رفتن به مدرسه معمولاً چیزی برای خوردن در مدرسه می‌گیرم و این بار بدون اطلاع پدرم پول او را برداشتم. احساس گناه کردم و پول را پس دادم.
1,male,1,joy,765,Finding my glasses again after having lost them in town.,پیدا کردن عینکم دوباره پس از اینکه آن را در شهر گم کرده بودم.
1,male,5,disgust,4567,"When I got  grade C in M160 at the end of my first year at UNZA.  I had expected a C+ or a B as M160 is easy, going by my capacity in mathematics.",از آنجا که من در پایان سال اول خود در UNZA در درس M160 نمره C گرفتم، من انتظار داشتم که نمره C+ یا B بگیرم، زیرا با توجه به توانایی ریاضی خود، درس M160 آسان است.
2,female,4,sadness,7127,Iqam chosen for your lecture and my best friend is not. Now he is angry with me and I cannot help him.,ایگام برای سخنرانی شما انتخاب شده است و دوست صمیمی من نیست. اکنون او بر من خشمگین است و نمی توانم به او کمک کنم.
1,male,6,shame,5434,I felt shame when I saw someone I knew and pretended not to see her. Later she saw me and said hi.,من احساس شرم کردم وقتی کسی را که می‌شناختم دیدم و ظاهر نکردم او را دیدم‌. بعدا او من را دید و سلام گفت.
1,male,7,guilt,4222,To force someone to do something that suits me.,به زور وادار کردن کسی برای انجام چیزی که به نفع من است.
1,male,7,guilt,5195,When my mother found me in her bedroom stealing sugar in her bedroom.  According to our customs there comes a stage when a child stops using the parents bedroom and I was well past that age.,وقتی مادرم من را در اتاق خواب خود در حال دزدیدن شکر یافت. طبق رسوم ما، مرحله‌ای وجود دارد که کودک دیگر از اتاق خواب والدین استفاده نمی‌کند و من از آن سن نیز گذشته بودم.
1,male,5,disgust,6458,In ward 2A there was a patient suffering from Syphilitic Paraplegia and had pressure sores. The wounds had offensive smell that only a few people .... the place.,در بخش ۲A، بیماری که از فلج سیفلیسی رنج می‌برد و زخم‌های فشاری داشت. زخم‌ها بوی بدی داشتند که تنها تعداد اندکی از افراد ....... آن مکان.
2,female,1,joy,2445,I felt joy when I entered at the University.,شادی را احساس کردم وقتی که به دانشگاه رفتم.
1,male,2,fear,6114,"Once I was very frightened at night as I had a very fearful and terrifying dream, I could not go back to sleep for a long time.",با من یک بار در شب بسیار ترسیده بودم چرا که خواب بسیار ترسناک و وحشتناکی دیده بودم و برای مدت طولانی نتوانستم دوباره به خواب بروم.
1,male,2,fear,3717,When armed robbers broke into our house at night.,وقتی که راهزنان مسلح در شب به خانه‌ی ما نفوذ کردند.
1,male,5,disgust,6313,I was disgusted with my girlfriend's behaviour. She was going out with other boys who were also my friends.,من از رفتار دوست دختر من به شدت ناراحت بودم. او با پسرهای دیگری که دوستان من هم بودند بیرون می‌رفت.
2,female,6,shame,5354,Failing in the English language exam.,در امتحان زبان انگلیسی ناموفق بودن.
1,male,3,anger,7133,Your prejudice against psychology students and education students (not allowing us to go to the medical university lectures).,نسبت به دانشجویان روانشناسی و آموزش نگرش منفی خود (عدم اجازه حضور ما در سخنرانی های دانشگاه پزشکی).
2,female,3,anger,3123,When my son omits to carry out certain duties at home that he knows needs doing.,وقتی فرزندم از انجام برخی وظایف مهم در خانه که میداند باید انجام شوند، خودداری میکند.
1,male,2,fear,3549,I found myself involved in a fight in which a person died and I had to intervene with some risk.,من خود را درگیر یک نزاع یافتم که در آن شخصی جان باخت و من مجبور به مداخله با برخی خطرات شدم.
2,female,4,sadness,3892,A very close friend of mine died. I read it in the newspaper. I didn't know what to do and thought about it the whole day.,دوست بسیار نزدیک من فوت کرد. من آن را در روزنامه خواندم. نمی‌دانستم چه کاری انجام دهم و تمام روز درباره آن فکر کردم.
1,male,2,fear,657,"After my car accident, when I woke up in a heap of stones.",پس از تصادف خودرویم، وقتی در انبوهی از سنگ ها بیدار شدم.
1,male,2,fear,5748,"In the recent lightning storm, bolts of lightning were hitting close by (1/8 mile). I was in bed at the time and was afraid I might be struck.",این طوفان رعد و برق اخیر، صاعقه ها به نزدیکی (1/8 مایل) اصابت می‌کردند. من در آن زمان در تخت خواب بودم و از این می‌ترسیدم که ممکن است به من اصابت کند.
1,male,1,joy,1499,Before Christmas I got to know a girl but our relationshop could not consolidate before the holiday. Therefore it was a big surprise to get a carefully hand-made present from her. - Our relationship grew closer.,قبل از کریسمس، من به یک دختر آشنا شدم اما رابطه ما قبل از تعطیلات نتوانست تحکیم پیدا کند. بنابراین، دریافت یک هدیه دقیقاً دست‌ساخته از او برای من شگفت‌انگیز بود. رابطه ما نزدیک‌تر شد.
1,male,4,sadness,3941,When I realized that it did not make much sense to start a relationship with a girl who was not very constructive to establish a firm relationship.,وقتی متوجه شدم که شروع یک رابطه با دختری که برای ایجاد یک رابطه محکم بسیار سازنده نیست، چندان منطقی نیست.
1,male,7,guilt,4954,"When I was late for work and told my boss that it was due to transport problem, whereas the truth was that I had woken up late.  I thus cheated my boss.",من وقتی برای کار دیر رسیده بودم و به رئیس خود گفتم که این به دلیل مشکل در حمل و نقل بوده است، در حالی که حقیقت این بود که دیر بیدار شده بودم. بنابراین من رئیس خود را فریب دادم.
2,female,2,fear,4405,"I thought that I would be scolded for a comment I had made, which I should not have made.",به نظر می‌رسید که من به دلیل یک نظری که داده بودم و نباید می‌دادم، سرزنش خواهم شد.
1,male,1,joy,4209,The begining of my relations with my current girlfriend.,در آغاز روابط من با دوست دختر فعلی من.
1,male,6,shame,6226,When I was not in a position to control myself.  I had said too much and had been cruel with no other than my mother.,وقتی که نمی‌توانستم خودم را کنترل کنم. من بیش از حد گفته بودم و بی‌رحمانه با کسی جز مادرم رفتار کرده بودم.
2,female,4,sadness,200,"After hearing about the death of my grandfather.  First I could not believe it, but later I wept and felt the situation was hopeless.  I felt lonely and wanted to be consolated.",بعد از شنیدن خبر مرگ پدربزرگم، ابتدا باور نمی‌کردم اما بعدها گریه کردم و احساس کردم که موقعیت بی‌امید است. احساس تنهایی می‌کردم و می‌خواستم مورد عزادار شدن قرار بگیرم.
1,male,4,sadness,6754,Failing examn.,امتحان در این مورد شکست خورده است.
1,male,6,shame,5794,I felt this when I was copying homework for one of my classes.,من این را زمانی حس کردم که برای یکی از کلاس هایم تکالیف را کپی می کردم.
1,male,3,anger,1757,I had an accident with damage to the car body.,من در تصادفی با آسیب به بدنه خودرو درگیر بودم.
1,male,1,joy,1783,My friend came to see me after she had stayed abroad. I waited at the station.,دوست من پس از اقامت در خارج از کشور به دیدن من آمد. من در ایستگاه منتظر ماندم.
1,male,1,joy,1284,"In the army, my result at the shooting exercises got me a three day furlough.",در ارتش، نتیجه من در تمرینات تیراندازی باعث شد که مرخصی سه روزه ای به من داده شود.
2,female,7,guilt,4138,When my parents quarelled over something I had done and which was wrong.,وقتی والدینم بر سر چیزی که من انجام داده بودم و اشتباه بود با هم مشاجره می‌کردند.
1,male,7,guilt,3688,"When I see that my mother forces my little brother (15 years) to work very hard for school. I don't agree that she constantly puts him to work, but I don't tell it to her, so nothing changes.",کوتاه زمانی پس از آنکه مادرم برادر کوچکم (15 سال) را وادار به کار سخت برای مدرسه میکند، میبینم. من با این موضوع که او به طور مداوم او را به کار وامیدارد موافق نیستم، اما این را به او نمیگویم، بنابراین هیچ چیز تغییر نمیکند.
2,female,5,disgust,4784,"The teacher of one course gave me 10 questions with sub-questions going from a to e for each question.  She asked me to do all this in one and a half hours.  It involved a lot of describing and explaining and even though I knew all the answers, I could not finish the work.",استاد یک درس، به من ده سؤال داد که هر کدام از آنها دارای زیرسؤالات از الف تا ه بود. او از من خواست که این همه را در طول یک و نیم ساعت انجام دهم. این کار شامل توصیف و توضیح زیادی بود و با اینکه من همه پاسخ‌ها را می‌دانستم، نتوانستم کار را تمام کنم.
2,female,7,guilt,4688,"I remember deceiving my brother, I told him that I was going to attend the Sunday service, instead I went out to the town with a friend. ",من برادرم را فریب دادم، به او گفتم که قرار است به مراسم یکشنبه بروم، اما به جای آن با یک دوست به شهر رفتم.
1,male,2,fear,334,When I was reprimanded by the manager of the hotel where I worked during Autumn 1984.,در پاییز ۱۹۸۴ که در هتلی که در آنجا کار می‌کردم، توسط مدیر آن هتل مورد سرزنش قرار گرفتم.
1,male,5,disgust,5235,"When a friend woke me up in the middle of a blessful sleep by knocking on the door.  Then he started calling me names and saying that he had heard that I had been talking behind his back, this was a lie and the guy was drunk to the core.",وقتی یک دوست در وسط خواب آرام من با کوبیدن به در مرا بیدار کرد. سپس شروع به فحاشی کرد و گفت که شنیده است که پشت سرش حرف زده ام، این دروغ بود و آن مرد کاملاً مست بود.
1,male,1,joy,71,Passed an exam by 2 points.,گذراندم یک امتحان به مقدار 2 امتیاز.
2,female,7,guilt,5567,A person I was attracted to walked me home in the rain and got sick.,شخصی که به او جذب شده بودم در باران مرا به خانه همراهی کرد و بیمار شد.
2,female,1,joy,1664,"I had not studied very much for my final examination at school, so I had to take an additional examination in French. The oral examination was not very hard for me - the more I was glad when I heard that I had passed it.",من برای امتحان نهایی در مدرسه به اندازه کافی مطالعه نکرده بودم، بنابراین مجبور شدم امتحان فرانسه اضافی را بگیرم. امتحان شفاهی برای من چندان سخت نبود - هرچند که بیشتر خوشحال شدم وقتی شنیدم که آن را قبول شده ام.
1,male,7,guilt,5404,Thinking about other things in a lecture.,در حین صحبت استاد، به مسائل دیگری فکر کردن.
